,Address,lat,long
0,1 Hawker Centre @ My Tampines Hub MSE (SEHC),1.3495907,103.9567879
1,2 Bedok Food Centre MSE,1.3205271,103.9554844
2,3 Pasir Panjang Food Centre MSE,1.275969,103.7912521
3,4 Tiong Bahru Market MSE,1.2851311,103.8324041
4,5 Berseh Food Centre MSE,1.3073539,103.8567494
5,6 Tanglin Halt Market MSE,1.2977308,103.799166
6,7 Adam Road Food Centre MSE,1.3251994,103.8132262
7,8 Sembawang Hills Food Centre MSE,1.3722883,103.8290075
8,9 Serangoon Gardens Market MSE,1.363257,103.8665724
9,10 Chomp Chomp Food Centre MSE,1.3642304,103.8664113
10,11 Yishun Park Hawker Centre MSE (SEHC),1.4250185,103.8447207
11,12 Kampung Admiralty Hawker Centre MSE (SEHC),1.4396759,103.8006801
12,13 Blk 137 Tampines Street 11 HDB,1.3454824,103.9447584
13,14 Ci Yuan Hawker Centre MSE (SEHC),1.3750855,103.8829262
14,15 Bukit Panjang Hawker Centre & Market MSE (SEHC),1.3774142,103.7719498
15,16 Newton Food Centre MSE,1.3119888,103.8395742
16,17 Beo Crescent Market MSE,1.2892218,103.8281545
17,18 Bukit Timah Market MSE,1.3394069,103.776049
18,19 Pasir Ris Central Hawker Centre MSE (SEHC),1.3721913,103.9491595
19,20 Golden Mile Food Centre MSE,1.3030908,103.8639299
20,21 North Bridge Road Market MSE,1.2900498,103.849749
21,22 Taman Jurong Food Centre MSE,1.3346605,103.7215524
22,23 Dunman Food Centre MSE,1.3094353,103.9018307
23,24 Commonwealth Crescent Market and Food Centre MSE,1.3062571,103.8012109
24,25 Zion Riverside Food Centre MSE,1.2924675,103.8313302
25,26 Fernvale Hawker Centre MSE (SEHC),1.3916389,103.8771037
26,27 Margaret Drive Hawker Centre MSE,1.2948088,103.8137962
27,28 Marsling Mall Hawker Centre MSE,1.4335076,103.7798639
28,29 Holland Village Market & Food Centre MSE,1.3112134,103.7950362
29,30 Market Street Hawker Centre MSE,1.2849619,103.8502058
30,31 East Coast Lagoon Food Village MSE,1.3069299,103.9349594
31,32 Maxwell Road Food Centre MSE,1.2803361,103.844767
32,33 Amoy Street Food Centre MSE,1.2794274,103.8467957
33,34 Kallang Estate Market MSE,1.3074316,103.8841373
34,35 Blk 6 Tanjong Pagar Plaza HDB,1.2755282,103.842967
35,36 Blk 22A/B Havelock Road HDB,1.290095,103.828563
36,37 Blk 79 Telok Blangah Drive HDB,1.2733181,103.8076065
37,38 Geylang Serai Market MSE,1.316744,103.8974247
38,39 Blk 84 Marine Parade Central HDB,1.3023792,103.906311
39,40 Blk 37A Teban Garden Road HDB,1.32086,103.7427812
40,41 Blk 127 Toa Payoh Lorong 1 HDB,1.338036,103.8447232
41,42 Blk 82 Telok Blangah Drive HDB,1.2738993,103.8079857
42,43 Blk 163 Bukit Merah Central HDB,1.2841226,103.8143098
43,44 Blk 630 Bedok Reservior Road HDB,1.3330218,103.914136
44,45 Blk 254 Jurong East Street 24 HDB,1.3436236,103.7376889
45,46 Blk 29 Bendemeer Road HDB,1.3150672,103.8615294
46,47 Blk 17 Upper Boon Keng Road HDB,1.3150436,103.8717193
47,48 Blk 347 Jurong East Ave 1 HDB,1.3454614,103.7315889
48,49 Blk 1 Jalan Kukoh HDB,1.2881765,103.8398758
49,50 Blk 511 Bedok North St 3 HDB,1.3336776,103.9296899
50,51 Blk 49 Sims Place HDB,1.3171615,103.8798859
51,52 Blk 353 Clementi Ave 2 HDB,1.3114847,103.7675701
