Property Type,Price,Area_sqm,Corner Unit,Renovated
HDB Executive,560000,142,1,1
HDB 4 Rooms,480000,92,1,0
HDB 5 Rooms,568000,113,1,1
HDB 4 Rooms,308888,84,0,1
HDB 5 Rooms,750000,120,0,1
HDB 4 Rooms,570000,107,0,1
HDB 3 Rooms,320000,68,0,1
HDB 4 Rooms,670000,83,1,1
HDB 5 Rooms,899000,110,1,0
HDB Executive,758000,146,1,0
HDB Executive,799988,147,1,1
HDB Executive,530000,142,1,0
HDB 4 Rooms,398000,84,0,1
HDB 4 Rooms,410000,100,0,0
HDB 4 Rooms,440000,99,1,1
HDB 5 Rooms,528000,122,1,0
HDB 5 Rooms,548000,111,1,1
HDB 5 Rooms,675000,110,1,1
HDB 5 Rooms,590000,127,1,1
HDB Executive,700000,146,1,0
HDB 4 Rooms,540000,93,0,0
HDB Executive,768000,146,0,0
HDB 3 Rooms,599000,60,0,1
HDB 4 Rooms,355000,103,0,1
HDB Executive,718000,148,1,0
HDB 5 Rooms,390000,118,1,0
HDB 5 Rooms,415000,121,1,1
HDB 4 Rooms,398000,93,1,0
HDB 3 Rooms,298000,65,0,1
HDB Executive,930000,155,0,0
HDB 3 Rooms,275000,73,0,0
HDB 5 Rooms,668000,116,1,1
HDB 5 Rooms,508000,126,1,1
HDB 4 Rooms,530000,93,1,1
HDB 3 Rooms,328000,67,0,1
HDB 4 Rooms,433000,104,1,0
HDB 4 Rooms,410000,92,1,1
HDB 5 Rooms,590000,127,1,1
HDB 4 Rooms,425000,93,0,0
HDB 4 Rooms,535000,93,1,1
HDB Executive,595000,130,1,1
HDB 5 Rooms,530000,124,1,1
HDB 4 Rooms,550000,77,1,1
HDB Executive,930000,155,0,0
HDB 3 Rooms,210000,65,0,0
HDB 5 Rooms,415000,110,1,0
HDB 3 Rooms,500000,82,0,0
HDB 4 Rooms,550000,92,0,1
HDB 4 Rooms,450000,91,0,1
HDB Executive,729888,150,1,1
HDB 4 Rooms,425000,92,1,0
HDB Executive,600000,149,0,0
HDB 5 Rooms,710000,133,0,1
HDB 4 Rooms,499000,93,1,1
HDB 4 Rooms,405000,93,0,1
HDB 5 Rooms,499999,128,1,0
HDB 4 Rooms,410000,92,1,0
HDB 5 Rooms,495000,110,1,1
HDB Executive,800000,146,0,0
HDB 3 Rooms,390000,67,0,0
HDB Executive,560000,149,1,1
HDB 4 Rooms,440000,92,1,0
HDB 4 Rooms,338000,93,0,0
HDB 3 Rooms,300000,82,1,0
HDB 5 Rooms,698000,125,0,0
HDB 4 Rooms,388000,107,0,0
HDB 5 Rooms,548000,111,1,1
HDB Executive,768000,146,0,0
HDB 3 Rooms,825000,100,0,1
HDB Executive,800000,146,0,0
HDB 3 Rooms,280000,64,0,0
HDB Executive,600000,149,0,0
HDB 5 Rooms,585000,133,1,1
HDB 4 Rooms,410000,90,0,0
HDB 5 Rooms,880000,115,0,0
HDB Executive,640000,125,1,1
HDB 4 Rooms,400000,104,0,1
HDB 4 Rooms,279000,84,0,0
