,0,lat,long
0, Bukit Merah East NPC,1.2785504,103.8396664
1, Marina Bay NPC,1.2746839,103.848937
2, Rochor NPC,1.3077453,103.854309
3, Bukit Merah West NPC,1.2859161,103.823354
4, Clementi NPC,1.3174301,103.7666174
5, Jurong East NPC,1.3399941,103.737416
6, Queenstown NPC,1.2882422,103.8030814
7, Bishan NPC,1.3578202,103.8477574
8, Bukit Timah NPC,1.3227899,103.8123944
9, Kampong Java NPC,1.311967,103.8465345
10, Orchard NPC,1.2990477,103.8398122
11, Toa Payoh NPC,1.3347939,103.8503835
12, Ang Mo Kio North NPC,1.3691149,103.8454342
13, Ang Mo Kio South NPC,1.3699473,103.8516684
14, Hougang NPC,1.3743002,103.8850239
15, Punggol NPC,1.3979547,103.9140307
16, Sembawang NPC,1.4447577,103.8196082
17, Sengkang NPC,1.3929248,103.893795
18, Serangoon NPC,1.3520482,103.870483
19, Yishun North NPC,1.4294127,103.8402164
20, Yishun South NPC,1.415112,103.835055
21, Bedok NPC,1.3324149,103.9372765
22, Changi NPC,1.344551,103.954818
23, Geylang NPC,1.3109594,103.8861338
24, Marine Parade NPC,1.3063262,103.914555
25, Pasir Ris NPC,1.3685036,103.9596902
26, Tampines NPC,1.3461298,103.9387278
27, Bukit Batok NPC,1.3492372,103.758485
28, Bukit Panjang NPC,1.3866847,103.7715834
29, Choa Chu Kang NPC,1.3950746,103.7447591
30, Jurong West NPC,1.3494325,103.7144765
31, Nanyang NPC,1.3509849,103.7023119
32, Woodlands NPC,1.4330808,103.7789205
33, Woodlands East NPC,1.4387504,103.8021592
34, Woodlands West NPC,1.4330808,103.7789205
35, Total,1.2786632,103.8474008
36, Woodlands East NPC,1.4387504,103.8021592
37, Woodlands West NPC,1.4330808,103.7789205
38, Yishun North NPC,1.4294127,103.8402164
39, Yishun South NPC,1.415112,103.835055
40, Sembawang NPC,1.4447577,103.8196082
